model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,-8.699256139949542,1.189521074295044,816.5817430019379,0.0005102157592773438,0.12727046012878418,3,True,10
WeightedEnsemble_L2,-8.715972705591888,0.56453537940979,397.92862939834595,0.0005478858947753906,0.13368797302246094,2,True,5
NeuralNetFastAI_BAG_L2,-8.718649317022939,0.8166656494140625,558.2242324352264,0.19000577926635742,103.73561954498291,2,True,7
NeuralNetFastAI_BAG_L1,-8.727664147291424,0.20640182495117188,103.81519055366516,0.20640182495117188,103.81519055366516,1,True,2
CatBoost_BAG_L2,-8.799069998389102,0.6633050441741943,467.8568766117096,0.03664517402648926,13.368263721466064,2,True,6
NeuralNetTorch_BAG_L2,-8.823004818768885,0.9386558532714844,658.251303434372,0.3119959831237793,203.76269054412842,2,True,9
XGBoost_BAG_L2,-8.839018389450723,0.6870090961456299,508.95616245269775,0.060349225997924805,54.467549562454224,2,True,8
CatBoost_BAG_L1,-8.881403651394795,0.04042196273803711,22.9127779006958,0.04042196273803711,22.9127779006958,1,True,1
NeuralNetTorch_BAG_L1,-8.956443184873908,0.31716370582580566,271.0669729709625,0.31716370582580566,271.0669729709625,1,True,4
XGBoost_BAG_L1,-9.09655065861112,0.06267237663269043,56.693671464920044,0.06267237663269043,56.693671464920044,1,True,3
XGBoost_BAG_L2_FULL,,,23.059273719787598,,0.4489560127258301,2,True,18
XGBoost_BAG_L1_FULL,,,0.6377081871032715,,0.6377081871032715,1,True,13
WeightedEnsemble_L3_FULL,,,36.40424728393555,,0.12727046012878418,3,True,20
WeightedEnsemble_L2_FULL,,,22.106297492980957,,0.13368797302246094,2,True,15
NeuralNetTorch_BAG_L2_FULL,,,32.12400197982788,,9.513684272766113,2,True,19
NeuralNetTorch_BAG_L1_FULL,,,17.57318139076233,,17.57318139076233,1,True,14
NeuralNetFastAI_BAG_L2_FULL,,,26.31433653831482,,3.7040188312530518,2,True,17
NeuralNetFastAI_BAG_L1_FULL,,,3.706554889678955,,3.706554889678955,1,True,12
CatBoost_BAG_L2_FULL,,,22.833310842514038,,0.2229931354522705,2,True,16
CatBoost_BAG_L1_FULL,,,0.6928732395172119,,0.6928732395172119,1,True,11
